Anti_5HT_MeanOf40
Anti_Gad67_MeanOf17
Anti_GlyR_MeanOf160
Anti_TH_MeanOf10
Anti_Zn12_MeanOf9
Anti_Zn1_MeanOf10
Anti_Znp1_MeanOf118
Anti_Zrf1_MeanOf5
Anti_Zrf2_MeanOf5
Anti_tERK_MeanOf193
Elavl3_GCaMP5G_MeanOf7
Elavl3_H2BRFP_MeanOf10
EtVmat2_GFP_MeanOf55
Gad1b_GFP_MeanOf10
Glyt2_GFP_MeanOf13
Hcrt_RFP_MeanOf15
Isl1_GFP_MeanOf17
Isl2b_Gal4_UAS_Dendra_MeanOf8
Olig2_GFP_MeanOf12
Otpb_A_Gal4_UAS_GCaMP_MeanOf19
Otpb_A_Nsfb_GFP_MeanOf10
Oxtl_GFP_MeanOf68
Pet1_GFP_MeanOf13
Ptf1a_Gal4_UAS_Kaede_MeanOf11
Qrfp_GFP_MeanOf15
S1181t_Gal4_UAS_Kaede_MeanOf14
SpinalBackfills_MeanOf23
Vglut2a_GFP_MeanOf15
ZBB_HuC-Cer
ZBB_ath5-GFP
ZBB_bActin-GFP
ZBB_chx10-gal4
ZBB_dat-GFP
ZBB_dbh-Gal4
ZBB_eng1b-Gal4
ZBB_evx2-Gal4
ZBB_flk-GFP
ZBB_gad1b-GFP
ZBB_gfap-GFP
ZBB_glyt2-GFP
ZBB_gsx1-GFP
ZBB_isl2b-GFP
ZBB_j1229-GFP
ZBB_pet1-GFP
ZBB_phox2b-GFP
ZBB_shox2-Gal4
ZBB_tph2-Gal4
ZBB_vglut-DsRed
ZBB_y234-Gal4
ZBB_y236-Gal4
ZBB_y237-Gal4
ZBB_y240-Gal4
ZBB_y241-Gal4
ZBB_y244-Gal4
ZBB_y245-Gal4
ZBB_y249-Gal4
ZBB_y252-Gal4
ZBB_y255-Gal4
ZBB_y256-Gal4
ZBB_y264-Gal4
ZBB_y269-Gal4
ZBB_y270-Gal4
ZBB_y275-Gal4
ZBB_y279-Gal4
ZBB_y293-Gal4
ZBB_y294-Gal4
ZBB_y295-Gal4
ZBB_y296-Gal4
ZBB_y297-Gal4
ZBB_y298-Gal4
ZBB_y299-Gal4
ZBB_y300-Gal4
ZBB_y301-Gal4
ZBB_y302-Gal4
ZBB_y303-Gal4
ZBB_y304-Gal4
ZBB_y305-Gal4
ZBB_y306-Gal4
ZBB_y307-Gal4
ZBB_y308-Gal4
ZBB_y309-Gal4
ZBB_y310-Gal4
ZBB_y311-Gal4
ZBB_y312-Gal4
ZBB_y313-Gal4
ZBB_y314-Gal4
ZBB_y315-Gal4
ZBB_y316-Gal4
ZBB_y317-Gal4
ZBB_y318-Gal4
ZBB_y319-Gal4
ZBB_y320-Gal4
ZBB_y321-Gal4
ZBB_y322-Gal4
ZBB_y323-Gal4
ZBB_y324-Gal4
ZBB_y325-Gal4
ZBB_y326-Gal4
ZBB_y327-Gal4
ZBB_y328-Gal4
ZBB_y329-Gal4
ZBB_y330-Gal4
ZBB_y331-Gal4
ZBB_y332-Gal4
ZBB_y333-Gal4
ZBB_y334-Gal4
ZBB_y336-Gal4
ZBB_y337-Gal4
ZBB_y338-Gal4
ZBB_y339-Gal4
ZBB_y341-Gal4
ZBB_y342-Gal4
ZBB_y345-Gal4
ZBB_y347-Gal4
ZBB_y351-Gal4
ZBB_y352-Gal4
ZBB_y353-Gal4
ZBB_y354-Gal4
ZBB_y355-Gal4
ZBB_y356-Gal4
ZBB_y357-Gal4
ZBB_y358-Gal4
ZBB_y359-Gal4
ZBB_y364-Gal4
ZBB_y365-Gal4
ZBB_y371-Cre
ZBB_y372-Gal4
ZBB_y373-Gal4
ZBB_y375-Gal4
ZBB_y378-Cre
ZBB_y379-Cre
ZBB_y380-Cre
ZBB_y381-Cre
ZBB_y382-Cre
ZBB_y383-Cre
ZBB_y384-Cre
