1: Midbrain: Tectum
2: Midbrain: Torus Longitudinalis
3: Midbrain: Torus Semicircularis
4: Midbrain: Tegmentum
5: Hindbrain: Rhombomere 1
6: Hindbrain: Rhombomere 2
7: Hindbrain: Rhombomere 3
8: Hindbrain: Rhombomere 4
9: Hindbrain: Rhombomere 5
10: Hindbrain: Rhombomere 6
11: Hindbrain: Rhombomere 7
12: Hindbrain: Caudal Hindbrain
13: Forebrain: Diencephalon
14: Forebrain: Telencephalon
15: Forebrain: Olfactory Bulb
16: Ganglia: Anterior Lateral Line Ganglion
17: Ganglia: Facial Sensory Ganglion
18: Ganglia: Facial glossopharyngeal ganglion
19: Ganglia: Lateral Line Neuromast D1
20: Ganglia: Lateral Line Neuromast D2
21: Ganglia: Lateral Line Neuromast N
22: Ganglia: Lateral Line Neuromast O1
23: Ganglia: Lateral Line Neuromast OC1
24: Ganglia: Lateral Line Neuromast SO1
25: Ganglia: Lateral Line Neuromast SO2
26: Ganglia: Lateral Line Neuromast SO3
27: Ganglia: Olfactory Epithelium
28: Ganglia: Posterior Lateral Line Ganglia
29: Ganglia: Statoacoustic Ganglion
30: Ganglia: Trigeminal Ganglion
31: Ganglia: Vagal Ganglia
32: Spinal Cord: Spinal Cord
33: Retina: Retina
